"","legper","party_name","originalname","fullname","nickname","surname","shared","lengthofname","match","alternativematch","nicknamematch"
"1",1,"Sinn Féin","Mr. Con Collins","Con Collins",NA,"Collins",1,2,"Deputy Con Collins",NA,NA
"2",1,"Sinn Féin","Mr. Michael Collins","Michael Collins",NA,"Collins",1,2,"Deputy Michael Collins",NA,NA
"3",2,"Sinn Féin","Ms. Kathleen O'Callaghan","Kathleen O'Callaghan",NA,"O'Callaghan",1,2,"Deputy Kathleen O'Callaghan",NA,NA
"4",2,"Sinn Féin","Mr. Michael Collins","Michael Collins",NA,"Collins",1,2,"Deputy Michael Collins",NA,NA
"5",2,"Sinn Féin","Mr. Fionán Lynch","Fionán Lynch",NA,"Lynch",1,2,"Deputy Fionán Lynch",NA,NA
"6",2,"Sinn Féin","Mr. Daniel O'Callaghan","Daniel O'Callaghan",NA,"O'Callaghan",1,2,"Deputy Daniel O'Callaghan",NA,NA
"7",2,"Sinn Féin","Mr. Kevin O'Higgins","Kevin O'Higgins",NA,"O'Higgins",1,2,"Deputy Kevin O'Higgins",NA,NA
"8",2,"Sinn Féin","Professor Michael Hayes","Michael Hayes",NA,"Hayes",1,2,"Deputy Michael Hayes",NA,NA
"9",2,"Sinn Féin","Mr. Sean (Cork West) Hayes","Sean Hayes",NA,"Hayes",1,2,"Deputy Sean Hayes",NA,NA
"10",2,"Sinn Féin","Mr. Brian O'Higgins","Brian O'Higgins",NA,"O'Higgins",1,2,"Deputy Brian O'Higgins",NA,NA
"11",2,"Sinn Féin","Mr. James Crowley","James Crowley",NA,"Crowley",1,2,"Deputy James Crowley",NA,NA
"12",2,"Sinn Féin","Mr. John Crowley","John Crowley",NA,"Crowley",1,2,"Deputy John Crowley",NA,NA
"13",2,"Sinn Féin","Mr. Con Collins","Con Collins",NA,"Collins",1,2,"Deputy Con Collins",NA,NA
"14",2,"Sinn Féin","Mr. William Hayes","William Hayes",NA,"Hayes",1,2,"Deputy William Hayes",NA,NA
"15",3,"Sinn Féin","Professor Michael Hayes","Michael Hayes",NA,"Hayes",1,2,"Deputy Michael Hayes",NA,NA
"16",3,"Independent","Mr. Alfred Byrne","Alfred Byrne",NA,"Byrne",1,2,"Deputy Alfred Byrne",NA,NA
"17",3,"Sinn Féin","Mr. William Hayes","William Hayes",NA,"Hayes",1,2,"Deputy William Hayes",NA,NA
"18",4,"Independent","Mr. Alfred Byrne","Alfred Byrne",NA,"Byrne",1,2,"Deputy Alfred Byrne",NA,NA
"19",4,"Farmers Party","Mr. Conor Hogan","Conor Hogan",NA,"Hogan",1,2,"Deputy Conor Hogan",NA,NA
"20",4,"The Labour Party","Mr. Patrick Hogan","Patrick Hogan",NA,"Hogan",1,2,"Deputy Patrick Hogan",NA,NA
"21",4,"Independent","Mr. James Cosgrave","James Cosgrave",NA,"Cosgrave",1,2,"Deputy James Cosgrave",NA,NA
"22",4,"Farmers Party","Mr. Michael Doyle","Michael Doyle",NA,"Doyle",1,2,"Deputy Michael Doyle",NA,NA
"23",4,"The Labour Party","Mr. Edward Doyle","Edward Doyle",NA,"Doyle",1,2,"Deputy Edward Doyle",NA,NA
"24",4,"Cumann na nGaedhael","Mr. Richard O'Connell","Richard O'Connell",NA,"O'Connell",1,2,"Deputy Richard O'Connell",NA,NA
"25",4,"Cumann na nGaedhael","Mr. Michael Egan","Michael Egan",NA,"Egan",1,2,"Deputy Michael Egan",NA,NA
"26",4,"Cumann na nGaedhael","Mr. Thomas Hennessy","Thomas Hennessy",NA,"Hennessy",1,2,"Deputy Thomas Hennessy",NA,NA
"27",5,"Independent","Mr. Alfred Byrne","Alfred Byrne",NA,"Byrne",1,2,"Deputy Alfred Byrne",NA,NA
"28",5,"Farmers Party","Mr. Michael Doyle","Michael Doyle",NA,"Doyle",1,2,"Deputy Michael Doyle",NA,NA
"29",5,"The Labour Party","Mr. Edward Doyle","Edward Doyle",NA,"Doyle",1,2,"Deputy Edward Doyle",NA,NA
